form,rating,model_name,language,cluster_type,edge_type,weighting,tails
D W,-15.527,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
F L,-11.439,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
F N,-16.059,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
F R,-10.613,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
F W,-13.421,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
G L,-11.439,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
G R,-10.613,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
G W,-13.421,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
K L,-10.542,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
K M,-15.899,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
K R,-9.449,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
K W,-11.266,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
L M,-19.922,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
L N,-19.307,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
L T,-18.544,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
M L,-14.921,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
M R,-13.679,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
N L,-14.899,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
P K,-17.45,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
P L,-11.417,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
P R,-9.426,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
P W,-13.166,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
R D,-18.974,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
R G,-17.957,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
R L,-15.145,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
R N,-17.86,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
S M,-15.071,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
S N,-12.153,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
S W,-11.324,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
SH L,-14.547,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
SH M,-20.522,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
SH N,-19.886,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
SH R,-11.996,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
SH W,-15.724,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
T L,-13.65,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
T R,-10.832,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
T W,-13.569,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
TH W,-14.097,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
V L,-14.921,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
V R,-13.679,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
V W,-15.527,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
Z R,-13.679,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
B L,-12.5165,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
B R,-12.7315,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
B W,-14.391,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
D G,-20.502,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
D N,-17.948500000000003,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
D R,-12.6805,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
D W,-12.512,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
F L,-12.5085,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
F N,-16.738500000000002,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
F R,-12.3875,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
F W,-14.663499999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
G L,-12.539,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
G R,-12.099499999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
G W,-12.285499999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
K L,-11.992999999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
K M,-19.3385,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
K R,-11.6985,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
K W,-12.364,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
L M,-19.210500000000003,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
L N,-19.1475,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
L T,-18.381999999999998,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
M L,-15.3845,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
M R,-15.765,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
N L,-15.6655,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
P K,-19.622999999999998,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
P L,-12.0175,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
P R,-12.3225,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
P W,-14.7415,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
R D,-22.042,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
R G,-21.610500000000002,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
R L,-20.3815,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
R N,-19.6635,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
S M,-15.1455,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
S N,-14.809999999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
S W,-15.5685,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
SH L,-14.9285,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
SH M,-17.430500000000002,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
SH N,-17.430500000000002,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
SH R,-13.7995,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
SH W,-15.1675,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
T L,-14.253499999999999,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
T R,-11.935500000000001,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
T W,-12.326,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
TH W,-12.5235,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
V L,-15.6035,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
V R,-16.0395,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
V W,-15.632000000000001,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
Z R,-15.7595,English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE
B L,-9.701,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
B R,-9.504,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
B W,-11.847,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
D G,-19.081,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
D N,-16.13,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
D R,-9.453,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
D W,-9.704,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
F L,-9.701,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
F N,-14.983,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
F R,-9.504,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
F W,-11.847,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
G L,-9.668,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
G R,-8.872,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
G W,-9.406,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
K L,-9.449,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
K M,-17.864,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
K R,-8.535,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
K W,-9.485,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
L M,-17.392,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
L N,-17.392,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
L T,-16.635,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
M L,-12.849,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
M R,-12.538,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
N L,-12.849,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
P K,-18.139,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
P L,-9.482,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
P R,-9.167,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
P W,-11.925,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
R D,-20.948,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
R G,-20.181,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
R L,-17.566,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
R N,-18.189,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
S M,-13.327,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
S N,-13.327,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
S W,-12.753,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
SH L,-12.112,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
SH M,-15.612,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
SH N,-15.612,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
SH R,-10.572,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
SH W,-12.632,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
T L,-11.374,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
T R,-9.115,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
T W,-9.782,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
TH W,-9.988,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
V L,-13.068,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
V R,-12.876,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
V W,-12.753,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
Z R,-12.876,English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE
